1	genre:saxophone
1	genre:schnuddel-alben
1	genre:secretagent
1	genre:sexy
1	genre:snoring
1	genre:sophisti-pop
1	genre:soundtracks
1	genre:southern rock
1	genre:spoken words
1	genre:stand up
1	genre:stand-up comedy
1	genre:swindie
1	genre:technotronic
1	genre:the rolling stones
1	genre:three
1	genre:tmbg
1	genre:tom waits
1	genre:tt trip-hop
1	genre:usa
1	genre:vocal jazz
1	genre:vocal trance
1	genre:where love lives with dj valentine
1	genre:worldbeat
1	genre:wul
